CUST NO.	X COORD.	Y COORD.	DEMAND	READY TIME	DUE DATE
0	35	35	0	0	230
1	41	49	10	151	181
2	35	17	7	40	70
3	55	45	13	106	136
4	55	20	19	139	169
5	15	30	26	24	54
6	25	30	3	89	119
7	20	50	5	71	101
8	10	43	9	85	115
9	55	60	16	87	117
10	30	60	16	114	144
11	20	65	12	57	87
12	50	35	19	53	83
13	30	25	23	149	179
14	15	10	20	32	62
15	30	5	8	51	81
16	10	20	19	65	95
17	5	30	2	147	177
18	20	40	12	77	107
19	15	60	17	66	96
20	45	65	9	116	146
21	45	20	11	52	82
22	45	10	18	87	117
23	55	5	29	58	88
24	65	35	3	143	173
25	65	20	6	156	186
